Tm	Sequence_ID
63.248979009018015	tr|A0A0F6U0N3|A0A0F6U0N3_MICAE
66.49515082149007	tr|A0A5A5R0Q9|A0A5A5R0Q9_MICAE
63.57541209438052	ancestral_118
57.978084682327626	tr|A0A2W7C243|A0A2W7C243_9CYAN
43.464119573595354	ancestral_119
43.46817114399358	tr|A0A2G3PF88|A0A2G3PF88_9CHRO
43.9034173157017	tr|K9Z108|K9Z108_CYAAP
67.76915820726873	ancestral_120
62.981633045907344	ancestral_121
67.85068716549583	tr|A0A3B8Y7L6|A0A3B8Y7L6_9CYAN
53.94683751653014	tr|A0A401IEU7|A0A401IEU7_APHSA
51.60076833555262	ancestral_122
50.229101446033056	ancestral_123
50.26896937582025	ancestral_124
49.91806003042905	tr|T2JFM0|T2JFM0_CROWT
48.57155197338563	tr|T2JKY8|T2JKY8_CROWT
50.04933101101338	tr|Q4C456|Q4C456_CROWT
49.324037566665524	ancestral_125
46.500883645425084	tr|A3IJG0|A3IJG0_9CHRO
48.36059032099554	sp|B1WQ07|FBSB_CROS5
80	ancestral_64
