Height	Sequence_ID
0.248869	tr|A0A3M1SS59|A0A3M1SS59_9CYAN
0.21923800000000002	ancestral_93
0.23091	tr|A0A522XKC5|A0A522XKC5_9CYAN
0.231224	ancestral_94
0.23691700000000002	tr|A0A168TPD2|A0A168TPD2_9CYAN
0.23461100000000001	tr|A0A0P7Z757|A0A0P7Z757_9CYAN
0.15302100000000002	ancestral_95
0.157449	tr|A0A068MUT9|A0A068MUT9_SYNY4
0.159503	ancestral_96
0.188521	tr|P96017|P96017_9SYNC
0.162516	query
0.088141	ancestral_97
0.09961099999999999	ancestral_98
0.13527799999999998	ancestral_99
0.19605599999999998	tr|A0A1Z4RSM1|A0A1Z4RSM1_9CHRO
0.21119699999999997	ancestral_100
0.22212499999999996	tr|A0A0D6ABG8|A0A0D6ABG8_9CHRO
0.23794699999999996	tr|A0A0D6AV98|A0A0D6AV98_9CHRO
0.20775899999999997	tr|A0A2T1CW43|A0A2T1CW43_9CYAN
0.110568	ancestral_101
0.15542899999999998	ancestral_102
0.30474999999999997	tr|A0A6B3M4Z3|A0A6B3M4Z3_9CYAN
0.156792	ancestral_103
0.203279	ancestral_104
0.338838	tr|A0A1Z4R9I8|A0A1Z4R9I8_9CYAN
0.36241599999999996	tr|A0A651E8W8|A0A651E8W8_9CYAN
0.217557	tr|A0A3B8JHS0|A0A3B8JHS0_9CYAN
0.204669	tr|A0A1D8TP20|A0A1D8TP20_9CYAN
0.065609	ancestral_105
0.095457	ancestral_106
0.143368	ancestral_107
0.212107	tr|K9V532|K9V532_9CYAN
0.201845	ancestral_108
0.213978	tr|A0A1Q4RJX8|A0A1Q4RJX8_9CYAN
0.203798	tr|A0A2H2Y5W2|A0A2H2Y5W2_9CYAN
0.132821	ancestral_109
0.246331	tr|A0A3D1PFP1|A0A3D1PFP1_9CYAN
0.185017	ancestral_110
0.200621	ancestral_111
0.203738	tr|A0A166K7Y6|A0A166K7Y6_NODSP
0.216252	tr|A0ZBB7|A0ZBB7_NODSP
0.20076	tr|A0A218Q0M8|A0A218Q0M8_9CYAN
0.081982	ancestral_112
0.128189	ancestral_113
0.163101	ancestral_114
0.177786	ancestral_115
0.177787	ancestral_116
0.186867	tr|A0A552PZN1|A0A552PZN1_9CHRO
0.177788	tr|I4GMQ6|I4GMQ6_MICAE
0.182335	ancestral_117
0.191526	tr|A0A6H9H2Z6|A0A6H9H2Z6_MICAE
0.182336	tr|A0A0F6U0N3|A0A0F6U0N3_MICAE
0.16686299999999998	tr|A0A5A5R0Q9|A0A5A5R0Q9_MICAE
0.13494699999999998	ancestral_118
0.26497499999999996	tr|A0A2W7C243|A0A2W7C243_9CYAN
0.276259	ancestral_119
0.27625999999999995	tr|A0A2G3PF88|A0A2G3PF88_9CHRO
0.280781	tr|K9Z108|K9Z108_CYAAP
0.1085	ancestral_120
0.130233	ancestral_121
0.23596999999999999	tr|A0A3B8Y7L6|A0A3B8Y7L6_9CYAN
0.206278	tr|A0A401IEU7|A0A401IEU7_APHSA
0.195573	ancestral_122
0.240838	ancestral_123
0.245372	ancestral_124
0.249868	tr|T2JFM0|T2JFM0_CROWT
0.245373	tr|T2JKY8|T2JKY8_CROWT
0.240839	tr|Q4C456|Q4C456_CROWT
0.220209	ancestral_125
0.24018499999999998	tr|A3IJG0|A3IJG0_9CHRO
0.22683499999999998	sp|B1WQ07|FBSB_CROS5
0	ancestral_64
